25.13,45.18,Boteni,Arges,AG,1975,Sud_-_Muntenia
25.21,45.19,Cetateni,Arges,AG,1619,Sud_-_Muntenia
25.17,45.35,Dragoslavele,Arges,AG,2480,Sud_-_Muntenia
25.17,45.39,Rucar,Arges,AG,6356,Sud_-_Muntenia
25.19,45.23,Cotenesti,Arges,AG,1103,Sud_-_Muntenia
25.6,45.65,Brasov,Brasov,BV,323736,Centru
25.51,45.66,Ghimbav,Brasov,BV,5380,Centru
25.45,45.7,Codlea,Brasov,BV,24547,Centru
25.58,45.51,Predeal,Brasov,BV,5861,Centru
25.46,45.59,Rasnov,Brasov,BV,16384,Centru
25.22,46.04,Rupea,Brasov,BV,5098,Centru
25.15,46.08,Fiser,Brasov,BV,1228,Centru
25.7,45.62,Sacele,Brasov,BV,30226,Centru
25.32,45.56,Zarnesti,Brasov,BV,24926,Centru
25.39,45.55,Tohanu_Nou,Brasov,BV,1393,Centru
25.53,45.95,Apata,Brasov,BV,2745,Centru
25.64,45.76,Bod,Brasov,BV,2016,Centru
25.6,45.76,Colonia_Bod,Brasov,BV,2012,Centru
25.37,45.52,Bran,Brasov,BV,1637,Centru
25.4,45.53,Sohodol,Brasov,BV,1825,Centru
25.36,45.48,Simon,Brasov,BV,1312,Centru
25.81,45.67,Budila,Brasov,BV,3052,Centru
25.28,46.09,Cata,Brasov,BV,1119,Centru
25.23,45.91,Comana_de_Jos,Brasov,BV,1020,Centru
25.48,45.62,Cristian,Brasov,BV,3764,Centru
25.44,45.77,Dumbravita,Brasov,BV,3618,Centru
25.6,45.82,Feldioara,Brasov,BV,4908,Centru
25.55,45.76,Halchiu,Brasov,BV,2752,Centru
25.47,45.82,Crizbav,Brasov,BV,1373,Centru
25.51,45.77,Satu_Nou,Brasov,BV,1033,Centru
25.69,45.71,Harman,Brasov,BV,3749,Centru
25.31,45.99,Hoghiz,Brasov,BV,2409,Centru
25.28,45.94,Cuciulata,Brasov,BV,1230,Centru
25.28,46.04,Homorod,Brasov,BV,1452,Centru
25.54,45.9,Maierus,Brasov,BV,1534,Centru
25.34,45.5,Moieciu_de_Jos,Brasov,BV,2136,Centru
25.56,46,Ormenis,Brasov,BV,1825,Centru
25.55,46.05,Augustin,Brasov,BV,1207,Centru
25.31,45.6,Poiana_Marului,Brasov,BV,3587,Centru
25.24,45.69,Sinca_Noua,Brasov,BV,1466,Centru
25.78,45.72,Prejmer,Brasov,BV,4841,Centru
25.77,45.76,Lunca_Calnicului,Brasov,BV,3071,Centru
25.41,46.02,Racos,Brasov,BV,2590,Centru
25.14,45.83,Sercaia,Brasov,BV,1478,Centru
25.17,45.76,Sinca_Veche,Brasov,BV,1012,Centru
25.21,45.78,Persani,Brasov,BV,1104,Centru
25.64,45.71,Sanpetru,Brasov,BV,3309,Centru
25.76,45.64,Tarlungeni,Brasov,BV,3096,Centru
25.79,45.64,Purcareni,Brasov,BV,1484,Centru
